RELEASETIME,LIFE_LOAN,ITEM_AMOUNT
2015-05-26,30,60000
2015-05-26,30,400000
2015-05-26,30,1000000
2015-05-25,30,8450000
2015-05-25,30,240000
2015-05-25,30,1000000
2015-05-25,30,360000
2015-05-25,30,520000
2015-05-25,30,60000
2015-05-25,30,450000
2015-05-25,30,1310000
2015-05-25,30,420000
2015-05-25,30,630000
2015-05-25,30,110000
2015-05-25,30,1000000
2015-05-22,30,750000
2015-05-22,30,550000
2015-05-22,30,1720000
2015-05-22,30,1150000
2015-05-22,30,220000
2015-05-22,30,170000
2015-05-22,30,1000000
2015-05-22,30,230000
2015-05-22,30,210000
2015-05-22,30,260000
2015-05-22,30,140000
2015-05-21,30,1320000
2015-05-21,30,450000
2015-05-21,30,180000
2015-05-21,30,320000
2015-05-21,30,580000
2015-05-21,30,1500000
2015-05-21,30,100000
2015-05-21,30,1500000
2015-05-21,30,1650000
2015-05-21,30,420000
2015-05-21,30,160000
2015-05-20,30,480000
2015-05-20,30,70000
2015-05-20,30,1840000
2015-05-20,30,420000
2015-05-20,30,5050000
2015-05-20,30,2070000
2015-05-20,30,1620000
2015-05-20,30,180000
2015-05-19,30,1680000
2015-05-19,30,1050000
2015-05-19,30,320000
2015-05-19,30,310000
2015-05-19,30,30000
2015-05-19,30,830000
2015-05-19,30,950000
2015-05-18,30,1060000
2015-05-18,30,6230000
2015-05-18,30,50000
2015-05-18,30,60000
2015-05-18,30,540000
2015-05-18,30,810000
2015-05-18,30,400000
2015-05-15,30,350000
2015-05-15,30,1790000
2015-05-15,30,890000
2015-05-15,30,100000
2015-05-15,30,1660000
2015-05-15,30,3150000
2015-05-15,30,220000
2015-05-15,30,440000
2015-05-15,30,1470000
2015-05-15,30,840000
2015-05-15,30,150000
2015-05-15,30,60000
2015-05-15,30,200000
2015-05-15,30,920000
2015-05-15,30,850000
2015-05-15,30,90000
2015-05-15,30,760000
2015-05-15,30,1770000
2015-05-15,30,240000
2015-05-14,30,450000
2015-05-14,30,60000
2015-05-14,30,650000
2015-05-14,30,70000
2015-05-14,30,2590000
2015-05-13,30,1420000
2015-05-13,30,330000
2015-05-13,30,520000
2015-05-13,30,570000
2015-05-13,30,510000
2015-05-13,30,80000
2015-05-13,30,550000
2015-05-13,30,180000
2015-05-13,30,140000
2015-05-12,30,1440000
2015-05-12,30,40000
2015-05-12,30,480000
2015-05-12,30,420000
2015-05-12,30,300000
2015-05-12,30,1550000
2015-05-11,30,80000
2015-05-11,30,760000
2015-05-11,30,1080000
2015-05-11,30,850000
2015-05-11,30,500000
2015-05-11,30,40000
2015-05-11,30,80000
2015-05-11,30,150000
2015-05-11,30,370000
2015-05-11,30,370000
2015-05-11,30,950000
2015-05-11,30,370000
2015-05-11,30,1750000
2015-05-08,30,90000
2015-05-08,30,50000
2015-05-08,30,120000
2015-05-08,30,1850000
2015-05-08,30,1670000
2015-05-08,30,2970000
2015-05-07,30,70000
2015-05-07,30,2270000
2015-05-07,30,320000
2015-05-07,30,340000
2015-05-06,30,2000000
2015-05-06,30,330000
2015-05-06,30,320000
2015-05-06,30,650000
2015-05-06,30,630000
2015-05-06,30,1050000
2015-05-06,30,1250000
2015-05-06,30,340000
2015-05-06,30,380000
2015-05-06,30,2000000
2015-05-06,30,1120000
2015-05-06,30,450000
2015-05-06,30,50000
2015-05-05,30,530000
2015-05-05,30,140000
2015-05-05,30,2210000
2015-05-05,30,180000
2015-05-05,30,210000
2015-05-05,30,150000
2015-05-05,30,900000
2015-05-04,30,1200000
2015-05-04,30,760000
2015-05-04,30,90000
2015-05-04,30,310000
2015-05-04,30,300000
2015-05-04,30,2040000
2015-05-04,30,120000
2015-05-04,30,4670000
2015-05-04,30,160000
2015-04-30,30,80000
2015-04-30,30,850000
2015-04-30,30,330000
2015-04-30,30,200000
2015-04-30,30,3870000
2015-04-30,30,270000
2015-04-30,30,670000
2015-04-30,30,210000
2015-04-30,30,170000
2015-04-30,30,250000
2015-04-30,30,1800000
2015-04-30,30,330000
2015-04-30,30,240000
2015-04-30,30,520000
2015-04-29,30,80000
2015-04-29,30,160000
2015-04-29,30,360000
2015-04-29,30,440000
2015-04-29,30,80000
2015-04-29,30,250000
2015-04-29,30,2000000
2015-04-28,30,2160000
2015-04-28,30,1750000
2015-04-28,30,1040000
2015-04-28,30,450000
2015-04-28,30,850000
2015-04-28,30,190000
2015-04-28,30,580000
2015-04-28,30,50000
2015-04-28,30,720000
2015-04-28,30,870000
2015-04-28,30,250000
2015-04-28,30,1450000
2015-04-27,30,800000
2015-04-27,30,500000
2015-04-27,30,290000
2015-04-27,30,580000
2015-04-27,30,830000
2015-04-27,30,550000
2015-04-27,30,550000
2015-04-27,30,6750000
2015-04-27,30,1000000
2015-04-24,30,240000
2015-04-24,30,1360000
2015-04-24,30,1000000
2015-04-24,30,420000
2015-04-24,30,860000
2015-04-24,30,1680000
2015-04-24,30,140000
