release time,life loan,ITEM_AMOUNT
2015-02-16,270,\N
2015-02-16,90,\N
2015-02-16,270,\N
2015-02-16,270,\N
2015-02-16,90,\N
2015-02-16,180,\N
2015-02-16,90,\N
2015-02-16,270,\N
2015-02-16,90,250000
2015-02-16,270,\N
2015-02-16,90,\N
2015-02-16,30,\N
2015-02-16,18,660000
2015-02-14,21,520000
2015-02-14,60,\N
2015-02-14,90,\N
2015-02-14,90,\N
2015-02-14,18,660000
2015-02-14,90,140000
2015-02-14,30,\N
2015-02-14,270,200000
2015-02-14,30,\N
2015-02-14,90,\N
2015-02-14,18,660000
2015-02-13,60,\N
2015-02-13,90,\N
2015-02-13,60,\N
2015-02-13,180,\N
2015-02-13,30,\N
2015-02-13,90,\N
2015-02-13,18,660000
