trading date,life loan,ITEM_AMOUNT
2015-07-08,30,56425.47
2015-07-08,30,51810.3
2015-07-08,180,49234.99
2015-07-08,90,40469.86
2015-07-08,180,36926.19
2015-07-08,180,34190.5
2015-07-08,30,68184.3
2015-07-07,14,54413.67
2015-07-07,90,56789.65
2015-07-07,180,40902.58
2015-07-08,30,53959.88
2015-07-08,30,54413.67
2015-07-08,30,50130.71
2015-07-08,14,53959.88
2015-07-08,14,56396.98
2015-07-08,30,53193.88
2015-07-08,30,66492.43
2015-07-08,14,64762.94
2015-07-08,30,63478.65
2015-07-08,14,62981.15
2015-07-07,30,150000
2015-07-07,30,77715.59
2015-07-07,90,45361.7
2015-07-07,30,30731.7
2015-07-07,30,69631.46
2015-07-07,14,50179.12
2015-07-07,90,73631.39
2015-07-07,180,37597.98
2015-07-07,30,77715.59
2015-07-07,90,43878.37
2015-07-07,90,53980.06
2015-07-07,180,33724.95
2015-07-07,180,26979.84
2015-07-07,180,15740.06
2015-07-07,180,27165.48
2015-07-06,30,80000
2015-07-07,30,36058.18
2015-07-07,180,32548.23
2015-07-07,90,35986.71
2015-07-06,90,37972.88
2015-07-07,30,46248.69
2015-07-07,30,32548.23
2015-07-07,30,62683.41
2015-07-02,14,24319.52
2015-07-07,30,63099.64
2015-07-07,30,69631.46
2015-07-06,90,35907.72
2015-07-06,90,46990.75
2015-07-06,90,48742.03
2015-07-06,90,55705.17
2015-07-06,90,62654.33
2015-07-07,30,111410.34
2015-07-06,30,77739.83
2015-07-06,360,20487.83
2015-07-05,90,34159.44
2015-07-04,90,56932.34
2015-07-06,180,30001.23
2015-07-06,30,56396.98
2015-07-05,180,20487.83
2015-07-06,360,20487.83
2015-07-06,30,103620.6
2015-07-06,30,45347.56
2015-07-06,30,50130.71
2015-07-06,360,23280.73
2015-07-06,30,23260.74
2015-07-06,30,37597.98
2015-07-06,30,45347.56
2015-07-06,30,64762.94
2015-07-06,30,64762.94
2015-07-06,30,15448.4
2015-07-05,30,70531.84
2015-07-05,30,83557.76
2015-07-05,14,57447.97
2015-07-05,30,35102.21
2015-07-05,30,35951.98
2015-07-03,180,20661.55
2015-07-05,30,37652.65
2015-07-05,30,41771.5
2015-07-05,30,39382.26
2015-07-05,14,47936.04
2015-07-05,30,45545.98
2015-07-05,30,35624.65
2015-07-05,30,30698.91
2015-07-04,30,124000
2015-07-03,90,75809.13
2015-07-05,30,37217.2
2015-07-05,30,35624.65
2015-07-05,30,43357.12
2015-07-05,30,39464.39
2015-07-04,30,45545.98
2015-07-04,30,51015.93
2015-07-04,30,52509.75
2015-07-04,30,52509.75
2015-07-04,30,52509.75
2015-07-04,30,70531.84
2015-07-04,30,59196.58
2015-07-04,30,70531.84
2015-07-04,30,69631.46
2015-07-03,30,28000
2015-07-03,30,76594.61
2015-07-03,360,22897
2015-07-03,30,150000
2015-07-03,30,90520.9
2015-07-03,90,31797.69
2015-07-03,180,18072.79
2015-07-03,360,21198.49
2015-07-03,360,20661.55
2015-07-03,14,66720.93
2015-07-03,30,60066.83
2015-07-03,30,79106.56
2015-07-03,30,83557.76
2015-07-03,30,24192.24
2015-07-02,30,83557.76
2015-07-03,30,69631.46
2015-07-03,14,84638.21
2015-07-03,180,54697.87
2015-07-03,90,31797.69
2015-07-03,180,73393.05
2015-07-03,30,35940.42
2015-07-03,30,25582.4
2015-07-01,180,41971.4
2015-06-30,180,24192.24
2015-07-02,90,59318.82
2015-07-03,30,24192.24
2015-07-03,30,24192.24
2015-07-03,14,80040.2
2015-07-03,14,83557.76
2015-07-02,30,35346.97
2015-07-02,14,83557.76
2015-07-01,360,20147.06
2015-07-02,30,180000
2015-07-02,30,38508.46
2015-07-02,30,44019.79
2015-07-02,14,41930.43
2015-07-02,30,52733.37
2015-07-01,90,77618.7
2015-07-01,30,65573.71
2015-07-02,30,56596.95
2015-07-02,30,66658.53
2015-07-02,30,24192.24
2015-07-02,14,56596.95
2015-07-02,30,66658.53
2015-07-02,30,66658.53
2015-07-01,30,65573.71
2015-07-01,30,24319.52
2015-07-01,30,30000
2015-06-30,14,25192.46
2015-07-01,90,30399.4
2015-07-01,90,30399.4
2015-07-01,30,24350.31
2015-07-01,30,25532.43
2015-07-01,360,48136.98
