DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-03-05,690,23700,16
2015-03-05,450,47700,16
2015-03-06,690,67100,16
2015-03-06,600,47700,16
2015-03-06,600,46300,16
2015-03-06,600,21100,16
2015-03-06,1050,64400,16
2015-03-06,600,21100,16
2015-03-06,690,51300,16
2015-03-06,690,51300,16
2015-03-06,960,24000,16
2015-03-06,690,35600,16
2015-03-06,690,35600,16
2015-03-06,690,71200,16
2015-03-06,690,59400,16
2015-03-06,720,53200,16
2015-03-07,900,22800,16
2015-03-07,960,60100,16
2015-03-07,960,48000,16
2015-03-07,960,48000,16
2015-03-07,960,48000,16
2015-03-08,930,23400,16
2015-03-08,570,45600,16
2015-03-08,570,30200,16
2015-03-08,570,32700,16
2015-03-08,570,34200,16
2015-03-08,570,43600,16
2015-03-08,480,58800,16
2015-03-08,930,46900,16
2015-03-08,930,58600,16
2015-03-08,570,21800,16
2015-03-08,570,43600,16
2015-03-08,510,41400,16
2015-03-09,540,54400,16
2015-03-09,690,38500,16
2015-03-09,690,23700,16
2015-03-09,1050,77200,16
2015-03-09,690,51300,16
2015-03-09,690,40200,16
2015-03-09,510,51700,16
2015-03-09,330,33500,16
2015-03-09,690,40200,16
2015-03-09,690,51300,16
2015-03-09,690,51300,16
2015-03-09,570,33200,16
2015-03-09,690,67100,16
2015-03-09,480,28100,16
2015-03-09,690,64200,16
2015-03-09,570,32700,16
2015-03-09,570,32700,16
2015-03-09,930,70300,16
2015-03-09,930,46900,16
2015-03-09,930,35100,16
2015-03-09,930,46900,16
2015-03-10,570,43600,16
2015-03-10,960,60100,16
2015-03-10,600,47700,16
2015-03-10,540,20800,16
2015-03-10,540,41600,16
2015-03-10,570,21800,16
2015-03-10,540,32600,16
2015-03-10,600,23100,16
2015-03-10,900,22800,16
2015-03-10,600,22800,16
2015-03-10,270,10200,16
2015-03-10,300,18000,16
2015-03-11,930,23400,16
2015-03-11,570,45600,16
2015-03-11,570,32700,16
2015-03-11,480,49000,16
2015-03-11,480,58800,16
2015-03-11,540,31200,16
2015-03-11,570,34200,16
2015-03-11,510,20100,16
2015-03-11,570,55400,16
2015-03-11,600,71500,16
2015-03-11,930,46900,16
2015-03-12,720,53200,16
2015-03-12,1080,52600,16
2015-03-12,720,53200,16
2015-03-12,720,53200,16
2015-03-12,720,49200,16
2015-03-12,720,49200,16
2015-03-12,510,62100,16
2015-03-12,720,53200,16
2015-03-12,510,41400,16
2015-03-12,720,39900,16
2015-03-12,900,57100,16
2015-03-12,720,36900,16
2015-03-13,1080,65800,16
2015-03-13,720,36900,16
2015-03-13,720,36900,16
2015-03-13,960,60100,16
2015-03-13,570,68400,16
2015-03-13,930,35100,16
2015-03-13,570,34200,16
2015-03-13,570,57000,16
2015-03-13,450,45600,16
2015-03-13,360,23500,16
2015-03-13,510,20100,16
2015-03-14,720,66500,16
2015-03-14,720,55600,16
2015-03-14,720,55600,16
2015-03-14,1080,52600,16
2015-03-14,510,49500,16
2015-03-14,570,43600,16
2015-03-14,720,39900,16
2015-03-14,930,46900,16
2015-03-15,510,82800,16
2015-03-15,900,34200,16
2015-03-15,510,59400,16
2015-03-15,540,65300,16
2015-03-15,540,52000,16
2015-03-15,570,43600,16
2015-03-15,570,22100,16
2015-03-16,570,43600,16
2015-03-16,570,33200,16
2015-03-16,450,36500,16
2015-03-16,480,46900,16
2015-03-16,540,41600,16
2015-03-16,570,32300,16
2015-03-16,540,31700,16
2015-03-16,930,46900,16
2015-03-17,720,111300,16
2015-03-17,960,72100,16
2015-03-17,570,91200,16
2015-03-17,1080,78900,16
2015-03-17,540,41600,16
2015-03-17,600,71500,16
2015-03-17,540,65300,16
2015-03-17,720,53200,16
2015-03-17,720,49200,16
2015-03-17,720,39900,16
2015-03-17,720,36900,16
2015-03-17,900,22800,16
2015-03-18,600,95400,16
2015-03-18,540,65300,16
2015-03-18,540,54400,16
2015-03-18,540,65300,16
2015-03-18,510,49500,16
2015-03-18,540,43500,16
2015-03-18,540,32600,16
2015-03-18,540,41600,16
2015-03-18,540,32600,16
2015-03-18,510,31000,16
2015-03-18,300,30700,16
2015-03-18,720,24600,16
2015-03-19,1020,100007,16
2015-03-19,720,61500,16
2015-03-19,720,55600,16
2015-03-19,540,43500,16
2015-03-19,540,31200,16
2015-03-19,540,43500,16
2015-03-19,510,39600,16
2015-03-19,540,19200,16
2015-03-20,660,103400,16
2015-03-20,570,68400,16
2015-03-20,1080,65800,16
2015-03-20,450,57200,16
2015-03-20,930,46900,16
2015-03-20,930,35100,16
2015-03-20,510,31000,16
2015-03-20,510,20100,16
2015-03-20,570,33200,16
2015-03-20,720,39900,16
2015-03-20,720,24600,16
2015-03-20,270,13900,16
2015-03-21,720,69500,16
2015-03-21,720,53200,16
2015-03-21,720,49200,16
2015-03-21,570,45600,16
2015-03-21,570,32700,16
2015-03-21,720,26600,16
2015-03-21,510,31000,16
2015-03-21,510,20100,16
2015-03-22,540,54400,16
2015-03-22,900,57100,16
2015-03-22,930,46900,16
2015-03-22,570,57000,16
2015-03-22,930,46900,16
2015-03-22,540,41600,16
2015-03-22,540,32600,16
2015-03-22,570,43600,16
2015-03-22,540,43500,16
2015-03-23,660,103400,16
2015-03-23,1020,100700,16
2015-03-23,300,102400,16
2015-03-23,540,54400,16
2015-03-23,450,47700,16
2015-03-23,540,41600,16
2015-03-23,540,38500,16
2015-03-23,480,29400,16
2015-03-24,540,77000,16
2015-03-24,540,43500,16
2015-03-24,540,19200,16
2015-03-24,570,60500,16
2015-03-24,570,30200,16
2015-03-24,570,22100,16
2015-03-24,720,26600,16
2015-03-24,570,40300,16
2015-03-24,360,24200,16
2015-03-25,720,49200,16
2015-03-25,720,53200,16
2015-03-25,720,39900,16
2015-03-25,720,39900,16
2015-03-25,900,68500,16
2015-03-25,720,36900,16
2015-03-25,480,49000,16
2015-03-25,720,24600,16
2015-03-26,1080,65800,16
2015-03-26,720,55600,16
2015-03-26,720,49200,16
2015-03-26,720,39900,16
2015-03-26,360,44900,16
2015-03-26,720,36900,16
2015-03-26,720,27000,16
2015-03-27,930,70300,16
2015-03-27,1080,65800,16
2015-03-27,570,54500,16
2015-03-27,720,41700,16
2015-03-27,720,26600,16
2015-03-27,720,36900,16
2015-03-28,720,79800,16
2015-03-28,720,53200,16
2015-03-28,570,43600,16
2015-03-28,720,36900,16
2015-03-29,1080,65800,16
2015-03-29,720,53200,16
2015-03-29,720,49200,16
2015-03-29,720,36900,16
2015-03-30,540,62500,16
2015-03-30,720,55600,16
2015-03-30,1080,52600,16
2015-03-30,1080,52600,16
2015-03-30,720,49200,16
2015-03-30,720,39900,16
2015-03-31,720,83400,16
2015-03-31,720,69500,16
2015-03-31,720,53200,16
2015-03-31,720,41700,16
2015-03-31,720,36900,16
2015-04-01,720,69500,16
2015-04-01,720,49200,16
2015-04-01,720,41700,16
2015-04-01,720,41700,16
2015-04-01,720,24600,16
2015-04-01,720,39900,16
2015-04-02,720,139100,16
2015-04-02,720,55600,16
2015-04-02,720,39900,16
2015-04-02,720,24600,16
2015-04-03,720,83400,16
2015-04-03,720,39900,16
2015-04-03,1080,52600,16
2015-04-03,720,41700,16
2015-04-04,1080,52600,16
2015-04-04,720,36900,16
2015-04-04,720,53200,16
2015-04-04,720,39900,16
2015-04-04,720,27000,16
2015-04-05,720,69500,16
2015-04-05,1080,39400,16
2015-04-05,720,41700,16
2015-04-05,720,36900,16
2015-04-05,720,24600,16
2015-04-06,720,53200,16
2015-04-06,720,49200,16
2015-04-06,720,39900,16
2015-04-06,720,27000,16
2015-04-06,1080,26300,16
2015-04-07,1080,78900,16
2015-04-07,720,39900,16
2015-04-07,720,39900,16
2015-04-07,1080,39400,16
2015-04-07,720,26600,16
2015-04-08,720,55600,16
2015-04-08,720,55600,16
2015-04-08,720,36900,16
2015-04-08,180,650000,18
2015-04-08,720,24600,16
2015-04-09,720,66500,16
2015-04-09,720,41700,16
2015-04-09,720,39900,16
2015-04-09,1080,39400,16
2015-04-09,720,26600,16
2015-04-10,720,53200,16
2015-04-10,720,41700,16
2015-04-10,720,36900,16
2015-04-10,720,36900,16
2015-04-10,720,27800,16
2015-04-11,720,55600,16
2015-04-11,1080,52600,16
2015-04-11,720,39900,16
2015-04-11,1080,39400,16
2015-04-11,720,24600,16
2015-04-12,1080,52600,16
2015-04-12,1080,52600,16
2015-04-12,720,39900,16
2015-04-13,720,53200,16
2015-04-13,1080,52600,16
2015-04-13,720,41700,16
2015-04-13,720,36900,16
2015-04-14,720,39900,16
2015-04-14,720,36900,16
2015-04-14,720,26600,16
2015-04-14,720,24600,16
2015-04-14,720,27000,16
2015-04-15,1080,52600,16
2015-04-15,720,39900,16
2015-04-15,720,39900,16
2015-04-15,1080,39400,16
2015-04-15,180,550000,18
2015-04-16,720,53200,16
2015-04-16,720,39900,16
2015-04-16,720,39900,16
2015-04-16,720,27800,16
2015-04-17,720,55600,16
2015-04-17,720,41700,16
2015-04-17,720,36900,16
2015-04-17,720,26600,16
2015-04-17,180,500000,18
2015-04-17,720,36900,16
2015-04-18,720,55600,16
2015-04-18,720,40500,16
2015-04-18,720,39900,16
2015-04-19,720,69500,16
2015-04-19,180,300000,18
2015-04-19,720,39900,16
2015-04-19,360,24200,16
2015-04-20,720,53200,16
2015-04-20,720,41700,16
2015-04-20,720,53200,16
2015-04-20,720,36900,16
2015-04-20,720,24600,16
2015-04-20,720,39900,16
2015-04-20,720,41700,16
2015-04-21,720,83400,16
2015-04-21,1080,52600,16
2015-04-21,720,53200,16
2015-04-21,720,39900,16
2015-04-21,720,36900,16
2015-04-21,720,41700,16
2015-04-21,720,39900,16
2015-04-22,720,49200,16
2015-04-22,720,49200,16
2015-04-22,720,41700,16
2015-04-22,180,450000,18
2015-04-22,720,41700,16
2015-04-22,360,36300,16
2015-04-23,720,55600,16
2015-04-23,720,53200,16
2015-04-23,720,49200,16
2015-04-23,720,39900,16
2015-04-23,720,36900,16
2015-04-24,720,69500,16
2015-04-24,120,760000,17
2015-04-24,720,39900,16
2015-04-24,720,55600,16
2015-04-24,360,24200,16
2015-04-24,120,760000,17
2015-04-25,720,55600,16
2015-04-25,720,49200,16
2015-04-25,720,36900,16
2015-04-26,720,49200,16
2015-04-26,120,750000,17
2015-04-26,720,41700,16
2015-04-26,720,36900,16
2015-04-26,720,36900,16
2015-04-27,720,69500,16
2015-04-27,720,49200,16
2015-04-27,120,300000,17
2015-04-27,720,36900,16
2015-04-27,720,36900,16
2015-04-28,720,55600,16
2015-04-28,120,900000,17
2015-04-28,720,41700,16
2015-04-28,720,36900,16
2015-04-29,720,53200,16
2015-04-29,720,39900,16
2015-04-29,720,36900,16
2015-04-29,720,24600,16
2015-04-29,180,600000,18
2015-04-29,120,550000,17
2015-04-30,720,53200,16
2015-04-30,720,49200,16
2015-04-30,720,39900,16
2015-05-01,720,53200,16
2015-05-01,720,49200,16
2015-05-01,720,36900,16
2015-05-02,1080,52600,16
2015-05-02,1080,39400,16
2015-05-02,720,24600,16
2015-05-03,1080,52600,16
2015-05-03,720,41700,16
2015-05-03,720,26600,16
2015-05-03,180,950000,18
2015-05-04,720,41700,16
2015-05-04,720,36900,16
2015-05-04,360,36300,16
2015-05-04,180,1000000,18
2015-05-04,720,27800,16
2015-05-05,1050,51500,16
2015-05-05,690,51300,16
2015-05-05,690,35600,16
2015-05-05,180,800000,18
2015-05-05,180,700000,18
2015-05-06,1080,65800,16
2015-05-06,720,36900,16
2015-05-06,720,36900,16
2015-05-06,180,1000000,18
2015-05-07,1080,65800,16
2015-05-07,720,36900,16
2015-05-07,720,36900,16
2015-05-07,180,1000000,18
2015-05-07,720,24600,16
2015-05-08,1080,65800,16
2015-05-08,720,49200,16
2015-05-08,720,36900,16
2015-05-08,180,1000000,18
2015-05-09,1080,52600,16
2015-05-09,720,39900,16
2015-05-09,720,36900,16
2015-05-09,180,1000000,18
2015-05-10,720,55600,16
2015-05-10,720,53200,16
